id,publication
1.32596144506294E+018,"As I have long said, Pfizer and the others would only announce a Vaccine after the Election, because they didnt have the courage to do it before. Likewise, the US_FDA should have announced it earlier, not for political purposes, but for saving lives!"
1.32596111535284E+018,"...ABC/WaPo had me down 17 points in Wisconsin, the day before the election, and I WON! In Iowa, the polls had us 4 points down, and I won by 8.2%! Fox News and Quinnipiac were wrong on everything..."
1.32596111451404E+018,".FoxNews, QuinnipiacPoll, ABC/WaPo, NBC/WSJ were so inaccurate with their polls on me, that it really is tampering with an Election. They were so far off in their polling, and in their attempt to suppress - that they should be called out for Election Interference..."
1.3464692047409E+018,"Pleased to announce that KLoeffler &amp; sendavidperdue have just joined our great group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!"
1.32596167234388E+018,"If Joe Biden were President, you wouldnt have the Vaccine for another four years, nor would the US_FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!"
1.32596220334697E+018,"The US_FDA and the Democrats didnt want to have me get a Vaccine WIN, prior to the election, so instead it came out five days later As Ive said all along!"
1.328349382023E+018,Who will be running for Governor of the Great State of Ohio? Will be hotly contested!
1.32834192764168E+018,"Another Vaccine just announced. This time by Moderna, 95% effective. For those great historians, please remember that these great discoveries, which will end the China Plague, all took place on my watch!"
1.32833824128462E+018,The Fake recount going on in Georgia means nothing because they are not allowing signatures to be looked at and verified. Break the unconstitutional Consent Decree!
1.34647211160322E+018,"Georgia, get out and VOTE for two great Senators, KLoeffler and sendavidperdue. So important to do so!"
1.34647848210507E+018,See you in D.C.
1.32909794677694E+018,"FLOYD COUNTY, GEORGIA!"
1.32016741278073E+018,...And a great show by JesseBWatters tonight. Watched it on way from Ohio to Wisconsin!
1.3464883141578E+018,The Vice President has the power to reject fraudulently chosen electors.
1.32906478714217E+018,"This was a rigged election. No Republican Poll Watchers allowed, voting machine glitches all over the place (meaning they got caught cheating!), voting after election ended, and so much more!"
1.3201689058564E+018,Law Enforcement is watching and involved. So dishonest!
1.32019064440135E+018,THANK YOU WISCONSIN!
1.32603137915133E+018,Nolte: Bret Baier Deletes Tweet that Exposed Backlash Against Fox News via BreitbartNews
1.34652144764939E+018,"Reports are coming out of the 12th Congressional District of Georgia that Dominion Machines are not working in certain Republican Strongholds for over an hour. Ballots are being left in lock boxes, hopefully they count them. Thank you Congressman RickAllen!"
1.32019390954544E+018,"This is the most important election in the history of our Country. With your vote, we will continue to bring back your jobs, lower drug prices, support our police, protect the , defend our borders, and ensure more products are proudly stamped with the phrase MADE IN THE USA!"
1.32952177104173E+018,We withdrew because we won!
1.34653831780703E+018,GEORGIA! Get out today and VOTE for KLoeffler and Perduesenate!
1.32603639484686E+018,Nothing!
1.32019803952982E+018,"As long as I am President, I will always stand with the HEROES of Law Enforcement! Joe Biden wont."
1.34657870643796E+018,"Washington is being inundated with people who dont want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they wont take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!"
1.32952142957505E+018,Nolte: Top Pollster Finds 47% Say Likely Democrats Stole Election via BreitbartNews Rigged Election!
1.32020040454683E+018,WISCONSIN!
1.32614791354267E+018,"President Trump told us for some time we would be getting a Vaccine by the end of the year and people laughed at him, and here we are with Pfizer getting FDA approval by the end of this month. He was right. MariaBartiromo"
1.34658031874521E+018,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They wont stand for a landslide election victory to be stolen. senatemajldr JohnCornyn SenJohnThune"
1.32947814960904E+018,"Lawyers now on newsmax, OANN &amp; maybe FoxNews. An open and shut case of voter fraud. Massive numbers!"
1.32946369120563E+018,"THE COVID DRUGS NOW AVAILABLE TO MAKE PEOPLE BETTER ARE AMAZING, BUT SELDOM TALKED ABOUT BY THE MEDIA! Mortality rate is 85% down!"
1.32940568270625E+018,"Voter Fraud in Detroit is rampant, and has been for many years!"
1.32614904124841E+018,"Only because of President Trump, we are going to have a Vaccine by the end of the year. Ronny Jackson, Texas Congressman-Elect"
1.34658353725698E+018,"Antifa is a Terrorist Organization, stay out of Washington. Law enforcement is watching you very closely! DeptofDefense TheJusticeDept DHSgov DHS_Wolf SecBernhardt SecretService FBI"
1.32615856444928E+018,WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!
1.32945999589376E+018,"Evidence of voter fraud continues to grow, including 20,000 dead people on the Pennsylvania voters roll and many thousands all over the Country. Now, there has been an artificial number of votes in favor of Joe Biden. OANN"
1.32942413416669E+018,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough! BrianKempGA"
1.33198717170051E+018,"Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION."
1.34658806402669E+018,I will be speaking at the SAVE AMERICA RALLY tomorrow on the Ellipse at 11AM Eastern. Arrive early doors open at 7AM Eastern. BIG CROWDS!
1.32615876082656E+018,WE WILL WIN!
1.33198808463699E+018,HAPPY THANKSGIVING!
1.32618612670982E+018,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!"
1.33205575955168E+018,No thanks!
1.32618629715796E+018,BALLOT COUNTING ABUSE!
1.32975960174769E+018,Great book!
1.34665258967335E+018,BIG NEWS IN PENNSYLVANIA!
1.32976001531446E+018,A Rigged Election!
1.33206225907872E+018,"A total FRAUD. Statehouse Republicans, proud, strong and honest, will never let this travesty stand!"
1.346659909493E+018,Looks like they are setting up a big voter dump against the Republican candidates. Waiting to see how many votes they need?
1.32619080007047E+018,Highly Respected Ken Starr: Pennsylvanias three-day extension of the mail-in ballot deadline is a Constitutional Travesty. Legal scholars agree!
1.32976112540421E+018,Will use these charts in court case. The Election was a HOAX. Thank you Justin!
1.33206501013528E+018,"Will go down much further. Weekend daytime even worse, dead. They still dont get it. Fantastic alternatives! The late/great Roger Ailes is seriously missed, but I still won LEGAL VOTES by a lot!!!"
1.32619414313208E+018,"Republicans, dont let Andrew McCabe continue to get away with totally criminal activity. What he did should never be allowed to happen to our Country again. FIGHT FOR JUSTICE!"
1.34668502386127E+018,Just happened to have found another 4000 ballots from Fulton County. Here we go!
1.32976166332367E+018, There will be no lockdowns other than those done by certain Democrat governors!
1.33206577599004E+018,So much TRUTH!
1.32620524595387E+018,Happy 245th Birthday to the USMC!
1.32621117874656E+018,"Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopefully confirm him to the FCC ASAP! We need action NOW on this very important nomination!!SenatorWicker MarshaBlackburn senatemajldr"
1.32621150798266E+018,Pennsylvania Party Leadership votes are this week. I hope they pick very tough and smart fighters. We will WIN!!
1.32976966654637E+018,"RINO Mitt Romney should read this. Im sure, however, that he feels he got slaughtering by Obama fair and square."
1.33206633783382E+018,A brilliant woman of courage!
1.32621142899972E+018,"Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopefully confirm him to the FCC ASAP! We need action NOW on this very important nomination!! SenatorWicker MarshaBlackburn senatemajldr"
1.34669390699031E+018,Get smart Republicans. FIGHT!
1.32977052230611E+018,The great FoxNews daytime ratings CRASH will only get worse!
1.32630409103588E+018,Ballot Corruption will be exposed tonight at 9:00pmE on SeanHannity on FoxNews!
1.3321555143866E+018,"A must read. Impossible for Biden to have overcome these, and even greater, odds!"
1.32022986837065E+018,So true!
1.34669821730458E+018,"If Vice President Mike_Pence comes through for us, we will win the Presidency. Many States want to decertify the mistake they made in certifying incorrect &amp; even fraudulent numbers in a process NOT approved by their State Legislatures (which it must be). Mike can send it back!"
1.32977180036923E+018,"Thank you Elizabeth, LOVE!"
1.33216975300422E+018,"I gave a long news conference today after wishing the military a Happy Thanksgiving, &amp; realized once again that the Fake News Media coordinates so that the real message of such a conference never gets out. Primary point made was that the 2020 Election was RIGGED, and that I WON!"
1.34680540599808E+018,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he cant even get the words out straight. Sad to watch!
1.3321739961342E+018,"Twitter is sending out totally false Trends that have absolutely nothing to do with what is really trending in the world. They make it up, and only negative stuff. Same thing will happen to Twitter as is happening to FoxNews daytime. Also, big Conservative discrimination!"
1.31981492801063E+018,"Thank you Pensacola, Florida! Together, we are going to Make America Great Again!"
1.34680807562643E+018,"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt process never received legislative approval. All Mike Pence has to do is send them back to the States, AND WE WIN. Do it Mike, this is a time for extreme courage!"
1.32978046766356E+018,We have great support on the Election Hoax!
1.33217515510425E+018,"For purposes of National Security, Section 230 must be immediately terminated!!!"
1.3263264967603E+018,"I dont care what State your in, this computer voting system is wide open to fraud and intervention. LouDobbs True, and wait until you see whats coming!"
1.34680934921425E+018,"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!"
1.34681885529807E+018,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!"
1.32632758207422E+018,"I dont care what state youre in, this computer voting system is wide open to fraud and intervention. LouDobbs True, and wait until you see whats coming!"
1.33231739416597E+018,"Wow! Twitter bans highly respected Pennsylvania State Senator Doug Mastriano after he did a great job of leading a hearing on the 2020 Election fraud. They and the Fake News, working together, want to SILENCE THE TRUTH. Cant let that happen. This is what Communist countries do!"
1.3323173477225E+018,"BIG NEWS: Pennsylvania Poll Watcher: USB Drives uploaded to machines, gave Biden thousands of votes. Says 47 USB Drives are now missing. EVERY UPLOAD GAVE BIDEN 50,000 VOTES. OANN"
1.33231734135974E+018,President Trump nominates record number of Federal Judges. OANN
1.32632811283409E+018,But how many ballots were fraudulently cast for the Dems? Did people vote after the election had ended? Did officials actually not allow OBSERVERS and Poll Watchers to look for an honest count?
1.34682261095756E+018,The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!
1.32004532710215E+018,Debate Poll Average: 89% Trump. 11% Sleepy Joe Biden!
1.34682295800689E+018,Even Mexico uses Voter I.D.
1.32634274280133E+018,"Andrew McCabe was exposed for who he is today in the U.S. Senate. He was totally destroyed - an ignorant fool. The great people of the FBI must make sure that he and his former boss, James Comey, pay the price for what they have done to the reputation of the FBI."
1.32978481225789E+018,Giuliani: The Case for Election Fraud Being Made By Americans via BreitbartNews
1.33231732019107E+018,"REPORT: Bidens Thanksgiving Day Address gets just 1000 views online, a record low. Observers say a candidate with 80,000,000 votes would get many more online viewers. Numbers dont lie, or add up! OANN"
1.34684510973685E+018,These scoundrels are only toying with the sendavidperdue (a great guy) vote. Just didnt want to announce quite yet. Theyve got as many ballots as are necessary. Rigged Election!
1.32634369491247E+018,Thats why Mike was number one in his class at West Point!
1.32634549283451E+018,Thanks Dan. Big win for us in Texas!
1.32985217763713E+018,News Conference on Reduced Drug Prices at 2:30 P.M.
1.34690043454024E+018,"Mike Pence didnt have the courage to do what should have been done to protect our Country and our Constitution, giving States a chance to certify a corrected set of facts, not the fraudulent or inaccurate ones which they were asked to previously certify. USA demands the truth!"
1.32634631484256E+018,He should pay a big price for his subversion!
1.32929510283406E+018,Statistical sampling to prove widespread voter fraud...multiple accounts of fraud and voting irregularities may overturn election...call for paper ballots. RandPaul OANN
1.32000904759316E+018,"Our Economy is doing great, and is ready to set new records - best ever (Again!). Biden will destroy everything with his massive Tax Increases. Dont let it happen!!!"
1.34690411096932E+018,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!
1.32634784147689E+018,A brave patriot. More &amp; more people are stepping forward to expose this Rigged Election!
1.32001618173499E+018,"The Fake News is talking about CASES, CASES, CASES. This includes many low risk people. Media is doing everything possible to create fear prior to November 3rd. The Cases are up because TESTING is way up, by far the most, and best, in the world. Mortality rate is DOWN 85% plus!"
1.32987177688993E+018,"...Why wont they do it, and why are they so fast to certify a meaningless tally?"
1.32987177570711E+018,"The Governor of Georgia, and Secretary of State, refuse to let us look at signatures which would expose hundreds of thousands of illegal ballots, and give the Republican Party and me, David Perdue, and perhaps Kelly Loeffler, a BIG VICTORY..."
1.31982373369183E+018,"If I do not sound like a typical Washington politician, its because Im NOT a politician. If I do not always play by the rules of the Washington Establishment, its because I was elected to fight for YOU, harder than anyone ever has before!"
1.31982246414735E+018,"...I could not sit by and watch THEM take advantage of YOU anymore. They are coming after me because I am standing in their way, and standing guard for this Country we LOVE!"
1.31982246044375E+018,"...For years, I watched one betrayal after another, as politicians like Joe Biden sold out American Workers at every turnshattering the lives of millions of American families while THEIR families raked in millions of dollars..."
1.3198224564801E+018,"Joe Biden is a corrupt politician and hes COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place..."
1.31976157699657E+018,"THANK YOU to all of the Great American Patriots in The Villages, Florida!"
1.34691278070058E+018,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; Order respect the Law and our great men and women in Blue. Thank you!"
1.3197240187783E+018,"On the 37th anniversary of the horrendous attack on our United States Marines, Sailors, and Soldiers in Beirut, we honor the 241 heroes who lost their lives that day. We will NEVER forget them. Semper Fi!"
1.32634897653114E+018,I Was In Philadelphia Watching Fraud Happen. Heres How It Went Down They shut out our Poll Watchers and Observers. Those hundreds of thousands of votes should not be allowed. Corrupt politics.
1.31971946955234E+018,"Joe Bidens response to the H1N1 Swine Flu, far less lethal than Covid 19, was one of the weakest and worst in the history of fighting epidemics and pandemics. It was pathetic, those involved have said. Joe didnt have a clue!"
1.32906981419587E+018,"The Georgia recount is a joke and is being done UNDER PROTEST. Even though thousands of fraudulent votes have been found, the real number is in matching signatures. Governor must open up the unconstitutional Consent Decree and call in the Legislature!"
1.32906594516018E+018,They didnt even allow Republican Observers into the building to watch. A terrible insult to our Constitution!
1.34695497091071E+018,These are the things and events that happen when a sacred landslide election victory is so unceremoniously &amp; viciously stripped away from great patriots who have been badly &amp; unfairly treated for so long. Go home with love &amp; in peace. Remember this day forever!
1.32908654809301E+018,"The numbers have not improved, it is still 71% out of balance, stated Wayne County, Michigan, Canvassers. There is widespread irregularities in poll numbers. There are more votes than people. The two harassed patriot Canvassers refuse to sign the papers!"
1.32033484552086E+018,".SeanParnellUSA is a bright star for Pennsylvania. Military, Vets, Low Taxes and your 2nd Amendment will be totally protected. His opponent is a weak and ineffective puppet for Pelosi and her new Radical Left friends. Vote for Sean Parnell!"
1.32635062886461E+018,Obama spied on our campaign - and got caught!
1.32033655360923E+018,"So important to VOTE for Republicans in the House. Break away from Pelosi and her high Taxing new Radical Left friends. Protect your 2nd Amendment, Military, Vets, and sooo much more!"
1.32635322674939E+018,People will not accept this Rigged Election!
1.34755531686355E+018,"The 75,000,000 great American Patriots who voted for me, AMERICA FIRST, and MAKE AMERICA GREAT AGAIN, will have a GIANT VOICE long into the future. They will not be disrespected or treated unfairly in any way, shape or form!!!"
1.33233789558426E+018,"No, the 2020 Election was a total scam, we won by a lot (and will hopefully turn over the fraudulent result), but we must get out and help David and Kelly, two GREAT people. Otherwise we are playing right into the hands of some very sick people. I will be in Georgia on Saturday!"
1.32034582081905E+018,"Pennsylvania Ballot mistakes made, in my opinion, on purpose by the Democrat Governor, puts Republicans, in particular SeanParnellUSA, at great risk. Corrupt politics in Pennsylvania must be investigated immediately. By the way, Philadelphia is out of control. TheJusticeDept"
1.34756987057827E+018,"To all of those who have asked, I will not be going to the Inauguration on January 20th."
1.32881502566291E+018,THIS SAYS IT ALL!
1.32880198122228E+018,I have reversed the ridiculous decision to cancel Wreaths Across America at Arlington National Cemetery. It will now go on!
1.32885235278748E+018,"The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud - including dead people voting, Poll Watchers not allowed into polling locations, glitches in the voting machines which changed..."
1.33233921200429E+018,Yesterdays news conference being broadcast in full now on Newsmax. Enjoy!
1.32036396681673E+018,"Have a GREAT MAGA-GRAS Rally today on our wonderful Long Island. Cut Taxes, Stop Crime, VOTE FOR TRUMP. Our City and State are a MESS. What do you have to lose? Thank you!!!"
1.32039260730277E+018,"Congratulations to SenRonJohnson for his dogged pursuit, as Chairman of Homeland, of POLITICAL CORRUPTION!"
1.32940885673318E+018,Important News Conference today by lawyers on a very clear and viable path to victory. Pieces are very nicely falling into place. RNC at 12:00 P.M.
1.33234549490386E+018,All newly rebuilt military!
1.32043270512165E+018,THANK YOU NEW HAMPSHIRE!
1.32043482409656E+018,Amazing!
1.32848386249057E+018,"Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy. Clark County officials do not have confidence in their own election security. Major impact!"
1.32907548755397E+018,THEY WOULDNT LET REPUBLICAN POLL WATCHERS INTO THE COUNTING ROOMS. UNCONSTITUTIONAL!!!
1.32906056244207E+018,"Wrong! At first they voted against because there were far more VOTES than PEOPLE (Sad!). Then they were threatened, screamed at and viciously harassed, and were FORCED to change their vote, but then REFUSED, as American patriots, to sign the documents. 71% MESS. Dont Harass!"
1.32885693201117E+018,"The only thing secure about our 2020 Election was that it was virtuallyimpenetrableby foreign powers. On that, the Trump Administration takes great credit. Unfortunately, the Radical Left Democrats, Dominion, and others, were perhaps more successful!"
1.32885235404996E+018,"...votes from Trump to Biden, late voting, and many more. Therefore, effective immediately, Chris Krebs has been terminated asDirector of the Cybersecurity and Infrastructure Security Agency."
1.32883038142929E+018,DEAD PEOPLE VOTED
1.33234637080045E+018,So much truth!
1.32888689176518E+018,"Well, its really quite simple. You just cant have more votes than people!"
1.32888615724616E+018,"More votes than people, and that is the least of it!!!"
1.32888531372969E+018,"Flip Michigan back to TRUMP. Detroit, not surprisingly, has tremendous problems!"
1.31986288084671E+018,Carney: Joe Bidens Energy Plan Would Eviscerate Wisconsin Sand Miners via BreitbartNews Wisconsin would be badly hurt because Biden would definitely end Fracking. No more Sand Mine usage!
1.33234986177416E+018,"Big Tech and the Fake News Media have partnered to Suppress. Freedom of the Press is gone, a thing of the past. Thats why they refuse to report the real facts and figures of the 2020 Election or even, wheres Hunter!"
1.32844853050416E+018,The rate of rejected Mail-In Ballots is 30 Xs lower in Pennsylvania this year than it was in 2016.This is why they kept our poll watchers and observers out of the SACRED vote counting rooms!
1.32838228733186E+018,"Georgia wont let us look at the all important signature match. Without that the recount is MEANINGLESS. Open up unconstitutional Consent Decree, NOW! BrianKempGA"
1.32890074749753E+018,"Wow! Governor Kemp will hopefully see the light before it is too late. Must finally take charge! Two GREAT Senators, who do so much for Georgia and truly love the USA, are in a must win battle with two incompetents who dont have a clue!"
1.32837003067804E+018,European Countries are sadly getting clobbered by the China Virus. The Fake News does not like reporting this!
1.33012334148786E+018,Trump Announces Groundbreaking Rules to Lower Prescription Drug Prices via BreitbartNews
1.33013726768019E+018,"This is true, but much different than reported by the media. We will show massive and unprecedented fraud!"
1.33235253885575E+018,"Biden can only enter the White House as President if he can prove that his ridiculous 80,000,000 votes were not fraudulently or illegally obtained. When you see what happened in Detroit, Atlanta, Philadelphia &amp; Milwaukee, massive voter fraud, hes got a big unsolvable problem!"
1.3301377410787E+018,Massive voter fraud will be shown!
1.32651902555227E+018,"The Fake Pollsters at ABC/washingtonpost produced a possibly illegal suppression Poll just before the Election showing me down 17 points in Wisconsin when, in fact, on Election Day, the race was even - &amp; we are now preparing to win the state. Many such deplorable instances!"
1.33013923347084E+018,My son Donald is doing very well. Thank you!
1.32047995842734E+018,THANK YOU MAINE!
1.33240771430411E+018,"Biden did poorly in big cities (Politico), except those of Detroit (more votes than people!), Philadelphia, Atlanta and Milwaukee, which he had to win. Not surprisingly, they are all located in the most important swing states, and are long known for being politically corrupt!"
1.32048113787821E+018,Thank you Rabbis!
1.32652211677949E+018,"Richard Hopkins, Pennsylvania postal worker, recants ballot-tampering claim - Washington Times Stays with the truth, his original story."
1.32652585175266E+018,"A guy named Al Schmidt, a Philadelphia Commissioner and so-called Republican (RINO), is being used big time by the Fake News Media to explain how honest things were with respect to the Election in Philadelphia. He refuses to look at a mountain of corruption &amp; dishonesty. We win!"
1.32048144056013E+018,"Congratulations to Armenian Prime Minister Nikol Pashinyan and Azerbaijani President Ilham Aliyev, who just agreed to adhere to a cease fire effectiveat midnight. Many lives will be saved. Proud of my team SecPompeo &amp; Steve Biegun &amp; WHNSC for getting the deal done!"
1.33014432784312E+018,I agree!
1.33247318367767E+018,The restaurant business is being absolutely decimated. Congress should step up and help. Time is of the essence!
1.33247765368583E+018,Rudy Giuliani will be on Greg Kelly Reports. 7:15 P.M. newsmax
1.32048923444113E+018,Great people. Vote for Trump!
1.33014862289852E+018,Big voter fraud information coming out concerning Georgia. Stay tuned!
1.32049069776664E+018,"Biden dumped New Hampshire in the Dem Primaries, left early. I had my first big victory there - Do it again!"
1.33019901922267E+018,Check out PastorDScotts new show tonight at 7:00pm on RealAmVoice. Good luck Darrell!
1.33255228355348E+018,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching!"
1.32049106588817E+018,In honor of Maine!
1.33271312141321E+018,So much credit to all of the brave men and women in state houses who are defending our great Constitution. Thank you!
1.32663061883113E+018,You are looking at BALLOTS! Is this what our Country has come to?
1.33275492977837E+018,Alan Dershowitz: Trump was Absolutely Right to Pardon Michael Flynn via BreitbartNews
1.32050521480224E+018,Suburban women are STRONG for President Trump. Watch this 60Minutes clip!
1.32666218440387E+018,WE WILL WIN!
1.32050656371141E+018,"Texas, Pennsylvania, Ohio, and others, please watch. His party, and Joe, will stop Fracking immediately. Millions of jobs lost as energy prices soar. Vote Trump!"
1.33024826865636E+018,Watch: Hundreds of Activists Gather for Stop the Steal Rally in Georgia via BreitbartNews Big Rallies all over the Country. The proof pouring in is undeniable. Many more votes than needed. This was a LANDSLIDE!
1.33277335101894E+018,".FoxNews daytime is virtually unwatchable, especially during the weekends. Watch OANN, newsmax, or almost anything else. You wont have to suffer through endless interviews with Democrats, and even worse!"
1.32667329869297E+018,"Everyone is asking why the recent presidential polls were so inaccurate when it came to me. Because they are FAKE, just like much of the Lamestream Media!"
1.32667376691564E+018,"I am pleased to announce that I have given my full support and endorsement to Ronna McDaniel to continue heading the Republican National Committee (RNC). With 72 MILLION votes, we received more votes than any sitting President in U.S. history - and we will win!"
1.33025985666265E+018,"President Trump has done many great things (biggest tax &amp; regulation cuts in history, Space Force, rebuilding our military, fixing the V.A., the Wall), but perhaps the most important of all will be what he is doing now, exposing the massive corruption in our Electoral Process."
1.33277631019688E+018,"The Wisconsin recount is not about finding mistakes in the count, it is about finding people who have voted illegally, and that case will be brought after the recount is over, on Monday or Tuesday. We have found many illegal votes. Stay tuned!"
1.33027305310489E+018,"Joe Biden was a total disaster in handling the H1N1 Swine Flu, would never have produced a Vaccine in record time (years ahead of schedule), and would do a terrible job of Vaccine delivery - But doesnt everybody already know that!"
1.3327789381212E+018,"Specific allegations were made, and we have massive proof, in the Pennsylvania case. Some people just dont want to see it. They want nothing to do with saving our Country. Sad!!!"
1.33278871681801E+018,"The number of ballots that our Campaign is challenging in the Pennsylvania case is FAR LARGER than the 81,000 vote margin. Its not even close. Fraud and illegality ARE a big part of the case. Documents being completed. We will appeal!"
1.32667938596605E+018,"Nobody wants to report that Pennsylvania and Michigan didnt allow our Poll Watchers and/or Vote Observers to Watch or Observe. This is responsible for hundreds of thousands of votes that should not be allowed to count. Therefore, I easily win both states. Report the News!"
1.33027868920086E+018,"The Fake News is not talking about the fact that Covid is running wild all over the World, not just in the U.S. I was at the Virtual G-20 meeting early this morning and the biggest subject was Covid. We will be healing fast, especially with our vaccines!"
1.317053924097E+018,"Sleepy Joe Biden had a very bad showing last night, despite the fact that GStephanopoulos didnt ask him any questions on his being a corrupt politician. Big Tech &amp; Lamestream Media are working hard to hide this corruption!!!"
